playerID,career_war
callijo01,38.4
davisch01,38.4
davisha02,38.4
gibsoki01,38.4
houghch01,38.4
morried02,38.4
chaveer01,38.3
brownra99,38.2
cainlo01,38.2
gordosi01,38.2
lankfra01,38.2
madlobi01,38.2
marisro01,38.2
springe01,38.2
bishoma01,38.1
garvest01,38.1
gibsojo99,38.1
glaustr01,38.1
blairpa01,37.8
weyhigu01,37.8
heathje01,37.7
lombaer01,37.7
turnete01,37.7
bluelu01,37.6
howarfr01,37.6
kellge01,37.6
rootch01,37.6
malonji01,37.5
mcauldi01,37.5
gubicma01,37.4
willicy01,37.4
heckegu01,37.3
bumgama01,37.2
lackejo01,37.2
bellja01,37.1
cavarph01,37.1
bakerdu01,37.0
dunlafr01,37.0
seageky01,37.0
selbaki01,37.0
longhe01,36.9
olsonma02,36.9
whiteea01,36.9
bushjo01,36.8
groatdi01,36.8
maddoga01,36.8
realmjt01,36.8
walberu01,36.8
moseswa01,36.7
pafkoan01,36.6
scottge02,36.6
suttlmu99,36.6
caldwra02,36.5
cummica01,36.5
simmoan01,36.5
bradlbi01,36.4
mazerbi01,36.4
moneydo01,36.4
cuetojo01,36.3
kiermke01,36.3
wiseri01,36.3
bufordo01,36.2
daviser01,36.1
derripa01,36.1
devliar01,36.1
coopece01,36.0
rushbo01,36.0
bottoji01,35.9
fitzsfr01,35.9
osterfr01,35.9
parenfr01,35.9
joynewa01,35.8
beckejo02,35.7
murphda04,35.7
willine01,35.7
kammwi01,35.6
phillde01,35.6
holmeto01,35.5
hootobu01,35.5
lyonsde01,35.5
reulbed01,35.5
foutzda01,35.4
huggimi01,35.4
nolaaa01,35.3
rhoderi01,35.3
tayloja02,35.3
vernomi01,35.3
reussje01,35.1
yosted01,35.1
alexado01,35.0
anderbr01,35.0
fairlro01,35.0
gordoto01,35.0
hadlebu01,35.0
harenda01,35.0
kendrho01,35.0
kennebr01,35.0
whitewi01,34.9
bellwi02,34.8
dykesji01,34.8
gordoal01,34.8
whitefr01,34.8
bellco99,34.7
choosh01,34.7
furilca01,34.7
greensh01,34.7
mcinnst01,34.7
ritchcl01,34.7
weaveje02,34.6
andruel01,34.5
cirilje01,34.5
leede02,34.5
shantbo01,34.5
frymatr01,34.4
guerrpe01,34.4
killefr01,34.4
polleho01,34.4
sallesl01,34.4
surhobj01,34.4
wakefti01,34.4
fordru01,34.3
leeth01,34.3
lowede01,34.3
mcgeewi01,34.3
carpech02,34.2
marteke01,34.2
perezsa02,34.2
rendoan01,34.2
tudorjo01,34.2
allisbo01,34.1
brantmi02,34.1
gantro01,34.1
howelha01,34.1
hurstbr01,34.1
mcmanma01,34.1
peskyjo01,34.1
cuccito01,34.0
klubeco01,34.0
mcganda01,34.0
mcmulke01,34.0
grantge01,33.9
sutclri01,33.9
durhara01,33.8
nashbi01,33.8
thompro01,33.8
markani01,33.7
thomsbo01,33.7
